"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"116",6,"Mike Williams",LAC,"WR45","7","3 out of 5 stars","-14.0"
"117",6,"DeVante Parker",MIA,"WR46","14","3 out of 5 stars","-10.0"
"118",6,"Michael Gallup",DAL,"WR47","7","1 out of 5 stars","-17.0"
"119",6,"Irv Smith Jr.",MIN,"TE13","7","2 out of 5 stars","-22.0"
"120",7,"Marquise Brown",BAL,"WR48","8","2 out of 5 stars","+5.0"
"121",7,"Michael Pittman Jr.",IND,"WR49","14","5 out of 5 stars","0.0"
"122",7,"Phillip Lindsay",HOU,"RB47","10","4 out of 5 stars","-26.0"
"123",7,"Matt Ryan",ATL,"QB14","6","3 out of 5 stars","-1.0"
"124",7,"Evan Engram",NYG,"TE14","10","3 out of 5 stars","-37.0"
"125",7,"Jonnu Smith",NE,"TE15","14","5 out of 5 stars","-13.0"
"126",7,"Marvin Jones Jr.",JAC,"WR50","7","5 out of 5 stars","-19.0"
"127",7,"Tarik Cohen",CHI,"RB48","10","3 out of 5 stars","-36.0"
"128",7,"J.D. McKissic",WAS,"RB49","9","3 out of 5 stars","-14.0"
"129",7,"Jaylen Waddle",MIA,"WR51","14","3 out of 5 stars","+9.0"
"130",7,"Hunter Henry",NE,"TE16","14","5 out of 5 stars","+11.0"
"131",7,"Trevor Lawrence",JAC,"QB15","7","4 out of 5 stars","0.0"
"132",7,"Rob Gronkowski",TB,"TE17","9","3 out of 5 stars","+27.0"
"133",7,"Kirk Cousins",MIN,"QB16","7","3 out of 5 stars","-10.0"
"134",7,"Alexander Mattison",MIN,"RB50","7","3 out of 5 stars","-3.0"
"135",7,"James White",NE,"RB51","14","3 out of 5 stars","-34.0"
"136",7,"Darnell Mooney",CHI,"WR52","10","3 out of 5 stars","-13.0"
"137",7,"T.Y. Hilton",IND,"WR53","14","5 out of 5 stars","-3.0"
"138",7,"Cole Kmet",CHI,"TE18","10","1 out of 5 stars","-160.0"
"139",7,"Blake Jarwin",DAL,"TE19","7","2 out of 5 stars","-72.0"
"140",7,"Mecole Hardman",KC,"WR54","12","3 out of 5 stars","-7.0"
"141",7,"Baker Mayfield",CLE,"QB17","13","3 out of 5 stars","+2.0"
"142",7,"Cole Beasley",BUF,"WR55","7","3 out of 5 stars","-4.0"
"143",7,"Carson Wentz",IND,"QB18","14","4 out of 5 stars","-1.0"
"144",7,"Henry Ruggs III",LV,"WR56","8","1 out of 5 stars","+8.0"
"145",7,"Tevin Coleman",NYJ,"RB52","6","4 out of 5 stars","-20.0"
"146",7,"Jalen Reagor",PHI,"WR57","14","3 out of 5 stars","-56.0"
"147",7,"Nelson Agholor",NE,"WR58","14","4 out of 5 stars","-91.0"
